seatid	keypadid	Xcolumn	Yrow	Xpx	Ypx	section	group	type	active	gender
1	1	23	0	872	300	central	0	null	yes	null
2	2	22	0	872	329	central	0	null	yes	null
3	3	21	0	872	359	central	0	null	yes	null
4	4	20	0	872	388	central	0	null	yes	null
5	5	19	0	872	418	central	0	null	yes	null
6	6	18	0	872	447	central	0	null	yes	null
7	7	17	0	872	477	central	0	null	yes	null
8	8	16	0	872	507	central	0	null	yes	null
9	9	25	3	902	300	central	0	null	yes	null
10	10	24	3	902	329	central	0	null	yes	null
11	11	23	3	902	359	central	0	null	yes	null
12	12	24	1	902	388	central	0	null	yes	null
13	13	24	0	902	418	central	0	null	yes	null
14	14	23	1	902	447	central	0	null	yes	null
15	15	22	1	902	477	central	0	null	yes	null
16	16	21	1	902	507	central	0	null	yes	null
17	17	25	4	932	300	central	0	null	yes	null
18	18	24	4	932	329	central	0	null	yes	null
19	19	23	4	932	359	central	0	null	yes	null
20	20	25	2	932	388	central	0	null	yes	null
21	21	24	2	932	418	central	0	null	yes	null
22	22	23	2	932	447	central	0	null	yes	null
23	23	22	2	932	477	central	0	null	yes	null
24	24	21	2	932	507	central	0	null	yes	null
25	25	25	5	962	300	central	0	null	yes	null
26	26	24	5	962	329	central	0	null	yes	null
27	27	23	5	962	359	central	0	null	yes	null
28	28	22	5	962	388	central	0	null	yes	null
29	29	22	4	962	418	central	0	null	yes	null
30	30	21	4	962	447	central	0	null	yes	null
31	31	22	3	962	477	central	0	null	yes	null
32	32	21	3	962	507	central	0	null	yes	null
33	33	15	0	721	517	central	0	null	yes	null
34	34	14	0	691	517	central	0	null	yes	null
35	35	13	0	661	517	central	0	null	yes	null
36	36	12	0	631	517	central	0	null	yes	null
37	37	11	0	601	517	central	0	null	yes	null
38	38	10	0	571	517	central	0	null	yes	null
39	39	9	0	541	517	central	0	null	yes	null
40	40	20	1	810	546	central	0	null	yes	null
41	41	19	1	781	546	central	0	null	yes	null
42	42	18	1	751	546	central	0	null	yes	null
43	43	17	1	721	546	central	0	null	yes	null
44	44	16	1	691	546	central	0	null	yes	null
45	45	15	1	661	546	central	0	null	yes	null
46	46	14	1	631	546	central	0	null	yes	null
47	47	13	1	601	546	central	0	null	yes	null
48	48	12	1	571	546	central	0	null	yes	null
49	49	11	1	541	546	central	0	null	yes	null
50	50	20	2	810	576	central	0	null	yes	null
51	51	19	2	781	576	central	0	null	yes	null
52	52	18	2	751	576	central	0	null	yes	null
53	53	17	2	721	576	central	0	null	yes	null
54	54	16	2	691	576	central	0	null	yes	null
55	55	15	2	661	576	central	0	null	yes	null
56	56	14	2	631	576	central	0	null	yes	null
57	57	13	2	601	576	central	0	null	yes	null
58	58	12	2	571	576	central	0	null	yes	null
59	59	11	2	541	576	central	0	null	yes	null
60	60	20	3	810	605	central	0	null	yes	null
61	61	19	3	781	605	central	0	null	yes	null
62	62	18	3	751	605	central	0	null	yes	null
63	63	17	3	721	605	central	0	null	yes	null
64	64	16	3	691	605	central	0	null	yes	null
65	65	15	3	661	605	central	0	null	yes	null
66	66	14	3	631	605	central	0	null	yes	null
67	67	13	3	601	605	central	0	null	yes	null
68	68	12	3	571	605	central	0	null	yes	null
69	69	11	3	541	605	central	0	null	yes	null
70	70	20	4	810	635	central	0	null	yes	null
71	71	19	4	781	635	central	0	null	yes	null
72	72	18	4	751	635	central	0	null	yes	null
73	73	17	4	721	635	central	0	null	yes	null
74	74	16	4	691	635	central	0	null	yes	null
75	75	15	4	661	635	central	0	null	yes	null
76	76	14	4	631	635	central	0	null	yes	null
77	77	13	4	601	635	central	0	null	yes	null
78	78	12	4	571	635	central	0	null	yes	null
79	79	11	4	541	635	central	0	null	yes	null
80	80	21	5	840	665	central	0	null	yes	null
81	81	20	5	810	665	central	0	null	yes	null
82	82	19	5	781	665	central	0	null	yes	null
83	83	18	5	751	665	central	0	null	yes	null
84	84	17	5	721	665	central	0	null	yes	null
85	85	16	5	691	665	central	0	null	yes	null
86	86	15	5	661	665	central	0	null	yes	null
87	87	14	5	631	665	central	0	null	yes	null
88	88	13	5	601	665	central	0	null	yes	null
89	89	12	5	571	665	central	0	null	yes	null
90	90	11	5	541	665	central	0	null	yes	null
91	91	8	0	512	517	central	0	null	yes	null
92	92	7	0	482	517	central	0	null	yes	null
