seatid	keypadid	Xcolumn	Yrow	Xpx	Ypx	section	group	type	active	gender
1	96	0	0	872	300	central	1	null	block	null
2	180	0	0	872	329	central	1	null	true	null
3	184	0	0	872	359	central	1	null	block	null
4	1	0	0	872	388	central	1	null	block	null
5	102	0	0	872	418	central	1	null	block	null
6	59	0	0	872	447	central	1	null	false	null
7	24	0	0	872	477	central	1	null	false	null
8	33	0	0	872	507	central	1	null	false	null
9	85	0	0	902	300	central	1	null	false	null
10	139	0	0	902	329	central	1	null	false	null
11	20	0	0	902	359	central	1	null	false	null
12	14	0	0	902	388	central	1	null	false	null
13	60	0	0	902	418	central	1	null	false	null
14	61	0	0	902	447	central	1	null	false	null
15	38	0	0	902	477	central	1	null	false	null
16	21	0	0	902	507	central	1	null	false	null
17	133	0	0	932	300	central	1	null	false	null
18	183	0	0	932	329	central	1	null	false	null
19	81	0	0	932	359	central	1	null	false	null
20	158	0	0	932	388	central	1	null	false	w
21	41	0	0	932	418	central	1	null	false	null
22	63	0	0	932	447	central	1	null	false	null
23	148	0	0	932	477	central	1	null	false	null
24	173	0	0	932	507	central	1	null	false	null
25	64	0	0	962	300	central	1	null	false	null
26	88	0	0	962	329	central	1	null	false	null
27	142	0	0	962	359	central	1	null	false	null
28	47	0	0	962	388	central	1	null	false	null
29	131	0	0	962	418	central	1	null	false	null
30	123	0	0	962	447	central	1	null	false	null
31	120	0	0	962	477	central	1	null	false	null
32	84	0	0	962	507	central	1	null	false	null
33	178	0	0	721	517	central	1	null	false	null
34	25	14	0	691	517	central	1	null	false	null
35	48	13	0	661	517	central	2	null	true	null
36	108	12	0	631	517	central	2	null	block	null
37	113	11	0	601	517	central	2	null	block	null
38	27	10	0	571	517	central	2	null	block	null
39	155	9	0	541	517	central	2	null	block	null
40	15	20	1	810	546	central	2	null	block	null
41	118	19	1	781	546	central	2	null	false	null
42	32	18	1	751	546	central	2	null	false	null
43	72	17	1	721	546	central	2	null	false	null
44	52	16	1	691	546	central	2	null	false	null
45	57	15	1	661	546	central	2	null	false	null
46	93	14	1	631	546	central	2	null	false	null
47	42	13	1	601	546	central	2	null	false	null
48	122	12	1	571	546	central	2	null	false	null
49	160	11	1	541	546	central	2	null	false	m
50	105	20	2	810	576	central	2	null	false	null
51	53	19	2	781	576	central	2	null	false	null
52	80	18	2	751	576	central	2	null	false	null
53	100	17	2	721	576	central	2	null	false	null
54	146	16	2	691	576	central	2	null	false	null
55	152	15	2	661	576	central	2	null	false	null
56	90	14	2	631	576	central	2	null	false	null
57	185	13	2	601	576	central	2	null	false	null
58	167	12	2	571	576	central	2	null	false	null
59	39	11	2	541	576	central	2	null	false	null
60	40	20	3	810	605	central	2	null	false	null
61	174	19	3	781	605	central	2	null	false	null
62	111	18	3	751	605	central	2	null	false	null
63	117	17	3	721	605	central	2	null	false	null
64	150	16	3	691	605	central	2	null	false	null
65	171	15	3	661	605	central	2	null	false	null
66	56	14	3	631	605	central	2	null	false	null
67	29	13	3	601	605	central	2	null	false	null
68	128	12	3	571	605	central	2	null	false	null
69	121	11	3	541	605	central	2	null	false	null
70	3	20	4	810	635	central	2	null	false	null
71	78	19	4	781	635	central	2	null	false	null
72	73	18	4	751	635	central	2	null	false	null
73	169	17	4	721	635	central	2	null	false	null
74	103	16	4	691	635	central	2	null	false	null
75	36	15	4	661	635	central	2	null	false	null
76	127	14	4	631	635	central	2	null	false	null
77	162	13	4	601	635	central	2	null	false	m
78	163	12	4	571	635	central	2	president	false	m
79	91	11	4	541	635	central	2	null	false	null
80	86	21	5	840	665	central	2	null	false	null
81	8	20	5	810	665	central	2	null	false	null
82	94	19	5	781	665	central	2	null	false	null
83	109	18	5	751	665	central	2	null	false	null
84	49	17	5	721	665	central	2	null	false	null
85	28	16	5	691	665	central	2	null	false	null
86	46	15	5	661	665	central	2	null	false	null
87	154	14	5	631	665	central	2	null	false	null
